"Contig_Name","SNP_Position","goTerm","CC","BP","MF","keywords"
"4709821",204,"GO:0005829 // GO:0005666 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0046872 // GO:0032549 // GO:0051607 // GO:0010467 // GO:0045087 // GO:0045089 // GO:0032728 // GO:0032481 // GO:0006386 // GO:0006385 // GO:0006383","defense response to virus (GO:0051607);gene expression (GO:0010467);innate immune response (GO:0045087);positive regulation of innate immune response (GO:0045089);positive regulation of interferon-beta production (GO:0032728);positive regulation of type I interferon production (GO:0032481);termination of RNA polymerase III transcription (GO:0006386);transcription elongation from RNA polymerase III promoter (GO:0006385);transcription from RNA polymerase III promoter (GO:0006383);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);metal ion binding (GO:0046872);ribonucleoside binding (GO:0032549);","cytosol (GO:0005829);DNA-directed RNA polymerase III complex (GO:0005666);nucleoplasm (GO:0005654);","Alternative splicing;Antiviral defense;Complete proteome;Disease mutation;DNA-directed RNA polymerase;Immunity;Innate immunity;Leukodystrophy;Metal-binding;Nucleotidyltransferase;Nucleus;Polymorphism;Reference proteome;Transcription;Transferase;Zinc;Zinc-finger.;"
"4731523",235,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",313,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",359,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",469,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",510,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",556,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",580,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4731523",609,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4735461",133,"GO:0097440 // GO:0030424 // GO:0044297 // GO:0005938 // GO:0005737 // GO:0005856 // GO:0005829 // GO:0030425 // GO:0031234 // GO:0005925 // GO:0030426 // GO:0030027 // GO:0045121 // GO:0043025 // GO:0017146 // GO:0005654 // GO:0005634 // GO:0048471 // GO:0014069 // GO:0005524 // GO:0004683 // GO:0004972 // GO:0004715 // GO:0004713 // GO:0005102 // GO:0004871 // GO:0090630 // GO:0042976 // GO:0002250 // GO:0001525 // GO:0006915 // GO:0043534 // GO:0045453 // GO:0007155 // GO:0030154 // GO:0016477 // GO:0007166 // GO:0006968 // GO:0071498 // GO:0071300 // GO:0070098 // GO:0007010 // GO:0007173 // GO:0048041 // GO:0014009 // GO:0045087 // GO:0007229 // GO:0035235 // GO:0060291 // GO:0000165 // GO:0002315 // GO:0043066 // GO:0030502 // GO:0008285 // GO:0010656 // GO:0045638 // GO:0043524 // GO:0043267 // GO:0031175 // GO:0001556 // GO:0038083 // GO:0018108 // GO:0030838 // GO:0045766 // GO:2000538 // GO:0030307 // GO:0030335 // GO:0008284 // GO:0001954 // GO:0007204 // GO:0010595 // GO:0070374 // GO:2000463 // GO:0046330 // GO:0043507 // GO:0010976 // GO:0051000 // GO:0050731 // GO:0043552 // GO:0045860 // GO:2000060 // GO:2000379 // GO:0051968 // GO:0045727 // GO:0046777 // GO:0006461 // GO:0006468 // GO:2000249 // GO:0050848 // GO:0030155 // GO:0008360 // GO:0030826 // GO:0010752 // GO:2000114 // GO:0032960 // GO:0010758 // GO:2000310 // GO:0045428 // GO:2000058 // GO:0051279 // GO:0051592 // GO:0051591 // GO:0042220 // GO:0042493 // GO:0045471 // GO:0009749 // GO:0009725 // GO:0042542 // GO:0001666 // GO:0035902 // GO:0010226 // GO:0009612 // GO:0006970 // GO:0006950 // GO:0007172 // GO:0007165 // GO:0002040 // GO:0043149 // GO:0033209 // GO:0048010","activation of GTPase activity (GO:0090630);activation of Janus kinase activity (GO:0042976);adaptive immune response (GO:0002250);angiogenesis (GO:0001525);apoptotic process (GO:0006915);blood vessel endothelial cell migration (GO:0043534);bone resorption (GO:0045453);cell adhesion (GO:0007155);cell differentiation (GO:0030154);cell migration (GO:0016477);cell surface receptor signaling pathway (GO:0007166);cellular defense response (GO:0006968);cellular response to fluid shear stress (GO:0071498);cellular response to retinoic acid (GO:0071300);chemokine-mediated signaling pathway (GO:0070098);cytoskeleton organization (GO:0007010);epidermal growth factor receptor signaling pathway (GO:0007173);focal adhesion assembly (GO:0048041);glial cell proliferation (GO:0014009);innate immune response (GO:0045087);integrin-mediated signaling pathway (GO:0007229);ionotropic glutamate receptor signaling pathway (GO:0035235);long-term synaptic potentiation (GO:0060291);MAPK cascade (GO:0000165);marginal zone B cell differentiation (GO:0002315);negative regulation of apoptotic process (GO:0043066);negative regulation of bone mineralization (GO:0030502);negative regulation of cell proliferation (GO:0008285);negative regulation of muscle cell apoptotic process (GO:0010656);negative regulation of myeloid cell differentiation (GO:0045638);negative regulation of neuron apoptotic process (GO:0043524);negative regulation of potassium ion transport (GO:0043267);neuron projection development (GO:0031175);oocyte maturation (GO:0001556);peptidyl-tyrosine autophosphorylation (GO:0038083);peptidyl-tyrosine phosphorylation (GO:0018108);positive regulation of actin filament polymerization (GO:0030838);positive regulation of angiogenesis (GO:0045766);positive regulation of B cell chemotaxis (GO:2000538);positive regulation of cell growth (GO:0030307);positive regulation of cell migration (GO:0030335);positive regulation of cell proliferation (GO:0008284);positive regulation of cell-matrix adhesion (GO:0001954);positive regulation of cytosolic calcium ion concentration (GO:0007204);positive regulation of endothelial cell migration (GO:0010595);positive regulation of ERK1 and ERK2 cascade (GO:0070374);positive regulation of excitatory postsynaptic potential (GO:2000463);positive regulation of JNK cascade (GO:0046330);positive regulation of JUN kinase activity (GO:0043507);positive regulation of neuron projection development (GO:0010976);positive regulation of nitric-oxide synthase activity (GO:0051000);positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731);positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552);positive regulation of protein kinase activity (GO:0045860);positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060);positive regulation of reactive oxygen species metabolic process (GO:2000379);positive regulation of synaptic transmission, glutamatergic (GO:0051968);positive regulation of translation (GO:0045727);protein autophosphorylation (GO:0046777);protein complex assembly (GO:0006461);protein phosphorylation (GO:0006468);regulation of actin cytoskeleton reorganization (GO:2000249);regulation of calcium-mediated signaling (GO:0050848);regulation of cell adhesion (GO:0030155);regulation of cell shape (GO:0008360);regulation of cGMP biosynthetic process (GO:0030826);regulation of cGMP-mediated signaling (GO:0010752);regulation of establishment of cell polarity (GO:2000114);regulation of inositol trisphosphate biosynthetic process (GO:0032960);regulation of macrophage chemotaxis (GO:0010758);regulation of N-methyl-D-aspartate selective glutamate receptor activity (GO:2000310);regulation of nitric oxide biosynthetic process (GO:0045428);regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000058);regulation of release of sequestered calcium ion into cytosol (GO:0051279);response to calcium ion (GO:0051592);response to cAMP (GO:0051591);response to cocaine (GO:0042220);response to drug (GO:0042493);response to ethanol (GO:0045471);response to glucose (GO:0009749);response to hormone (GO:0009725);response to hydrogen peroxide (GO:0042542);response to hypoxia (GO:0001666);response to immobilization stress (GO:0035902);response to lithium ion (GO:0010226);response to mechanical stimulus (GO:0009612);response to osmotic stress (GO:0006970);response to stress (GO:0006950);signal complex assembly (GO:0007172);signal transduction (GO:0007165);sprouting angiogenesis (GO:0002040);stress fiber assembly (GO:0043149);tumor necrosis factor-mediated signaling pathway (GO:0033209);vascular endothelial growth factor receptor signaling pathway (GO:0048010);","ATP binding (GO:0005524);calmodulin-dependent protein kinase activity (GO:0004683);NMDA glutamate receptor activity (GO:0004972);non-membrane spanning protein tyrosine kinase activity (GO:0004715);protein tyrosine kinase activity (GO:0004713);receptor binding (GO:0005102);signal transducer activity (GO:0004871);","apical dendrite (GO:0097440);axon (GO:0030424);cell body (GO:0044297);cell cortex (GO:0005938);cytoplasm (GO:0005737);cytoskeleton (GO:0005856);cytosol (GO:0005829);dendrite (GO:0030425);extrinsic component of cytoplasmic side of plasma membrane (GO:0031234);focal adhesion (GO:0005925);growth cone (GO:0030426);lamellipodium (GO:0030027);membrane raft (GO:0045121);neuronal cell body (GO:0043025);NMDA selective glutamate receptor complex (GO:0017146);nucleoplasm (GO:0005654);nucleus (GO:0005634);perinuclear region of cytoplasm (GO:0048471);postsynaptic density (GO:0014069);","3D-structure;Adaptive immunity;Alternative splicing;Angiogenesis;ATP-binding;Cell junction;Cell membrane;Cell projection;Complete proteome;Cytoplasm;Immunity;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Transferase;Tyrosine-protein kinase.;"
