ContigName	GO
4708133	GO:0005654, GO:0030914, GO:0003713, GO:0006325, GO:0010467, GO:0043966, GO:0045814, GO:0000122, GO:0040029, GO:0006351
4708185	GO:0005886, GO:0047555, GO:0046872, GO:0007165, GO:0007601
4708203	GO:0005829, GO:0031965, GO:0097038, GO:0005886, GO:0008289, GO:0006869
4708207	GO:0005737, GO:0005654, GO:0005524, GO:0008384, GO:0046982, GO:0042803, GO:0004672, GO:0071356, GO:0007595, GO:0060749, GO:0033598, GO:0002011, GO:0042475, GO:0030316, GO:0043123, GO:0045944, GO:0035994
4708221	GO:0005737, GO:0051539, GO:0017113, GO:0046872, GO:0000166, GO:0019483, GO:0006214, GO:0006212
4708225	GO:0016021, GO:0005637, GO:0005634, GO:0000030, GO:0007275, GO:0018406, GO:0007286
4708235	GO:0005737, GO:0016021, GO:0005622, GO:0016020, GO:0005654, GO:0005509, GO:0019722, GO:0007275
4708239	GO:0030054, GO:0005814, GO:0005813, GO:0097539, GO:0005829, GO:0000922, GO:0043297, GO:0042384, GO:0090162, GO:0006996
4708249	GO:0005737, GO:0005634, GO:0000922, GO:0021987, GO:0007052, GO:0022008
4708279	GO:0005737, GO:0005739, GO:0005524, GO:0008887, GO:0006468
4708281	GO:0046872
4708285	GO:0003677, GO:0008270, GO:0007010, GO:0007275, GO:0022604
4708293	GO:0005604, GO:0070062, GO:0031012, GO:0005615, GO:0001527, GO:0005578, GO:0005509, GO:0005201, GO:0005178, GO:0032403, GO:0009653, GO:0007507, GO:0035582, GO:0035583, GO:0001501
4708295	GO:0051260
4708301	GO:0005737, GO:0005634, GO:0000166, GO:0003723, GO:0006397
4708317	GO:0005739, GO:0051536, GO:0046872, GO:0005198, GO:0016226
4708323	GO:0071339, GO:0005667, GO:0003677, GO:0003700, GO:0000083, GO:0006351
4708325	GO:0005887, GO:0051378, GO:0004993, GO:0007193, GO:0014827, GO:0050795, GO:0040012, GO:0009636, GO:0007210, GO:0007268, GO:0042310
4708331	No_GOcodes
4708345	GO:0045177, GO:0016021, GO:0005743, GO:0005739, GO:0043025, GO:0044237, GO:0035356, GO:0006091, GO:0048839, GO:0043066, GO:0051562, GO:0010917, GO:0070997, GO:0008284, GO:0015992, GO:0046324, GO:0022904, GO:0044281
4708347	GO:0005737
4708349	GO:0016021, GO:0005622, GO:0005886, GO:0008528, GO:0016941, GO:0007193, GO:0006171, GO:0019933, GO:0002158, GO:0035810, GO:0008217, GO:0033688, GO:0001501
4708351	GO:0005737, GO:0000811, GO:0031298, GO:0032508, GO:0006270, GO:0000727
4708359	GO:0005737, GO:0005634, GO:0003700, GO:0006351
4708361	GO:0016592, GO:0005739, GO:0005654, GO:0005634, GO:0050682, GO:0030331, GO:0030374, GO:0000166, GO:0030546, GO:0003723, GO:0001104, GO:0008134, GO:0007015, GO:0060346, GO:0034614, GO:0030520, GO:0007005, GO:0045892, GO:0006996, GO:0001503, GO:0010694, GO:0045780, GO:0045672, GO:0042327, GO:2000273, GO:0051091, GO:0045944, GO:0006355, GO:0051591, GO:0051384, GO:0006390
4708365	No_GO
4708377	GO:0003677
4708381	GO:0042809, GO:0045671, GO:0045778, GO:0010468
4708387	GO:0016021, GO:0007409
4708389	No_GO
4708405	GO:0005886, GO:0052794, GO:0052795, GO:0052796, GO:0005975, GO:0006689
4708407	GO:0009986, GO:0005789, GO:0005576, GO:0000139, GO:0005887, GO:0016020, GO:0005654, GO:0005634, GO:0005886, GO:0043235, GO:0005509, GO:0004872, GO:0038049, GO:0006915, GO:0060413, GO:0046849, GO:0007050, GO:0001709, GO:0016049, GO:0010467, GO:0030097, GO:0030522, GO:0002315, GO:0007275, GO:0043066, GO:0008285, GO:0007399, GO:0007220, GO:0061314, GO:0007219, GO:0009887, GO:0046579, GO:0003184, GO:0050793, GO:0006355, GO:0019827, GO:0006367
4708417	GO:0005737, GO:0005654, GO:0005634
4708433	GO:0005930, GO:0005929, GO:0005856, GO:0005516, GO:0060271, GO:0003341
4708439	GO:0005829, GO:0070062, GO:0046872, GO:0004721, GO:0006915, GO:0097193, GO:1900740, GO:0012501
4708459	GO:0005758, GO:0005886, GO:0046872, GO:0004222, GO:0042277, GO:0006111, GO:1902809
4708463	No_GOcodes
4708469	GO:0031225, GO:0016805, GO:0008239, GO:0046872, GO:0008235, GO:0007140
4708477	GO:0005634, GO:0003677, GO:0046872, GO:0006355, GO:0006351
4708489	GO:0005576
4708491	GO:0005737, GO:0005829, GO:0048471, GO:0004028, GO:0004029, GO:0016918, GO:0001758, GO:0042904, GO:0009952, GO:0001568, GO:0048738, GO:0071300, GO:0009855, GO:0031076, GO:0048566, GO:0035115, GO:0060324, GO:0003007, GO:0030902, GO:0001822, GO:0001889, GO:0030324, GO:0007494, GO:0016331, GO:0008285, GO:0014032, GO:0021915, GO:0030182, GO:0031016, GO:0021983, GO:0043065, GO:0008284, GO:0010628, GO:0009954, GO:0001936, GO:0034097, GO:0032355, GO:0033189, GO:0042574, GO:0042573, GO:0048384, GO:0042572, GO:0035799, GO:0006776
4708493	GO:0015031
4708505	GO:0016021
4708507	GO:0005814, GO:0005813, GO:0097539, GO:0005829, GO:0005615, GO:0005654, GO:0051301, GO:0042384, GO:0006281, GO:0000086, GO:0000278, GO:0007067, GO:0006996
4708511	GO:0005615, GO:0030173, GO:0031965, GO:0005886, GO:0016971, GO:0003756, GO:0045454, GO:0006457
4708539	GO:0005634, GO:0003677, GO:0046872, GO:0003700, GO:0006355, GO:0006351
4708557	GO:0003676
4708561	GO:0070847, GO:0016592, GO:0016020, GO:0005654, GO:0005634, GO:0030374, GO:0004872, GO:0001104, GO:0003713, GO:0003712, GO:0042809, GO:0030521, GO:0010467, GO:0030518, GO:0045944, GO:0045893, GO:0006357, GO:0019827, GO:0006367
4708565	GO:0010008, GO:0000139, GO:0007165
4708573	GO:0045179, GO:0005813, GO:0005737, GO:0045095, GO:0005739, GO:0005886, GO:0006915, GO:0030030, GO:0030308, GO:1902018
4708579	GO:0044599, GO:0030119, GO:0005737, GO:0005654, GO:0005634, GO:0000724, GO:0016197, GO:0015031
4708581	No_GOcodes
4708589	GO:0005737, GO:0005794, GO:0016020, GO:0005509, GO:0004197, GO:0004843, GO:0043161, GO:0016579, GO:0061136
4708597	GO:0005829, GO:0005739, GO:0005524, GO:0008865, GO:0004340, GO:0005536, GO:0004396, GO:0019158, GO:0061621, GO:0005975, GO:0001678, GO:0051156, GO:0006006, GO:0015758, GO:0006096, GO:0008645, GO:0044281, GO:0055085
4708601	GO:0042995, GO:0034451, GO:0005813, GO:0006974, GO:0031122, GO:0035058
4708623	GO:0005581, GO:0005783, GO:0005794, GO:0005578
4708625	GO:0005737, GO:0070062, GO:0016020, GO:0005634, GO:0030529, GO:0005876, GO:0003677, GO:0019899, GO:0003950, GO:0008219, GO:0006464, GO:0006974, GO:0006281, GO:0006954, GO:0006471, GO:0042493, GO:0006810
4708633	GO:0005737, GO:0035097, GO:0071339, GO:0005654, GO:0005634, GO:0003680, GO:0003682, GO:0001046, GO:0042800, GO:0042802, GO:0070577, GO:0042803, GO:0003700, GO:0044212, GO:0045322, GO:0008270, GO:0009952, GO:0006915, GO:0006325, GO:0032922, GO:0060216, GO:0006306, GO:0035162, GO:0035640, GO:0044648, GO:0051568, GO:0080182, GO:0043984, GO:0051899, GO:0008285, GO:0018026, GO:2001040, GO:0051571, GO:0045944, GO:0045893, GO:0032411, GO:0006461, GO:0071440, GO:1901674, GO:2000615, GO:0048172, GO:0035864, GO:0006366, GO:0008542
4708643	GO:0016021, GO:0032039, GO:0016020, GO:0005634, GO:0016180
4708659	GO:0005634, GO:0003677
4708683	GO:0044822
4708699	GO:0005813, GO:0070062, GO:0005654, GO:0008821, GO:0003677, GO:0046872, GO:0006281, GO:0006302, GO:0000724, GO:0090267, GO:0010824, GO:0071140, GO:0071139
4708701	GO:0005737, GO:0005524, GO:0004467
4708705	GO:0016324, GO:0030424, GO:0043197, GO:0070062, GO:0030426, GO:0016021, GO:0005887, GO:0030027, GO:0016328, GO:0043005, GO:0005886, GO:0016791, GO:0042803, GO:0004725, GO:0005001, GO:0017147, GO:0007411, GO:0000902, GO:0072112, GO:0032835, GO:0030032, GO:0002548, GO:0090090, GO:0010812, GO:0003105, GO:0010977, GO:0090260, GO:0035335, GO:0006470, GO:0003093, GO:0036060
4708707	GO:0030424, GO:0005737, GO:0030425, GO:0031235, GO:0016020, GO:0005730, GO:0005096, GO:0008017, GO:0031210, GO:0008429, GO:0030036, GO:0030325, GO:0021764, GO:0048844, GO:0007420, GO:0048593, GO:0007154, GO:0034605, GO:0021987, GO:0050890, GO:0030199, GO:0030198, GO:0008625, GO:0021897, GO:0048853, GO:0061534, GO:0061535, GO:0007507, GO:0001889, GO:0000165, GO:0001656, GO:0022011, GO:0016525, GO:0048712, GO:0030336, GO:0008285, GO:0001953, GO:0001937, GO:0048147, GO:0043407, GO:0043409, GO:0007406, GO:0046929, GO:0048715, GO:0045671, GO:0006469, GO:0035021, GO:0046580, GO:0042992, GO:0021915, GO:0098597, GO:0001649, GO:0007422, GO:0014065, GO:0043473, GO:0045762, GO:0043065, GO:0001938, GO:2001241, GO:1902043, GO:0043547, GO:0043525, GO:0007265, GO:0045765, GO:0043535, GO:0045124, GO:0042127, GO:0001952, GO:0010468, GO:0045685, GO:0043087, GO:0048169, GO:1900271, GO:0043408, GO:0032228, GO:0001666, GO:0014044, GO:0007519, GO:0048745, GO:0021510, GO:0048485, GO:0008542, GO:0042060
4708709	GO:0005887, GO:0043235, GO:0005001, GO:0001525, GO:0016311, GO:0035335, GO:0006796, GO:0006470
4708713	No_GOcodes
4708729	GO:0005813, GO:0043025, GO:0019005, GO:0030332, GO:0006974, GO:0031571, GO:0008054, GO:0050775, GO:2001224, GO:0016567, GO:0031146
4708739	GO:0005930, GO:0036064, GO:0005929, GO:0032403, GO:0042073, GO:0045494, GO:0015031
4708763	GO:0005829, GO:0005654, GO:0019901, GO:0004725, GO:0051301, GO:0008283, GO:0034644, GO:0006260, GO:0000082, GO:0000086, GO:0000278, GO:0007067, GO:0051726, GO:0000079, GO:0009314
4708773	GO:0009986, GO:0070062, GO:0005615, GO:0000139, GO:0016021, GO:0005886, GO:0008894, GO:0017111, GO:0045134, GO:0051592, GO:0032026
4708781	GO:0005739, GO:0031515, GO:0016429, GO:0070901, GO:0051260
4708793	GO:0071013, GO:0005783, GO:0016020, GO:0005634, GO:0005524, GO:0004004, GO:0003677, GO:0044822, GO:0008270, GO:0035458, GO:0051607, GO:0006397, GO:0045944, GO:0010501, GO:0008380
4708857	GO:0005737, GO:0005524, GO:0004594, GO:0015937
4708865	No_GOcodes
4708867	GO:0005737, GO:0016023, GO:0005769, GO:0005770, GO:0055037, GO:0030154, GO:0008333, GO:0006886, GO:0006355, GO:0007283, GO:0006351
4708875	GO:0005730, GO:0005654, GO:0005634, GO:0048257, GO:0003677, GO:0046872, GO:0000737, GO:0006281, GO:0006302, GO:0000724, GO:0036297, GO:0072429
4708877	GO:0031314, GO:0005743, GO:0008168, GO:0044237, GO:0032981, GO:0022904, GO:0044281
4708895	GO:0005858, GO:0005929, GO:0005737, GO:0036156, GO:0005874, GO:0005524, GO:0016887, GO:0005509, GO:0003777, GO:0003341, GO:0001539, GO:0036159
4708909	GO:0005813, GO:0005737, GO:0000922
4708911	GO:0005737, GO:0070062, GO:0016020, GO:0005634, GO:0030529, GO:0005876, GO:0003677, GO:0019899, GO:0003950, GO:0008219, GO:0006464, GO:0006974, GO:0006281, GO:0006954, GO:0006471, GO:0042493, GO:0006810
4708913	GO:0033186, GO:0005737, GO:0000790, GO:0005654, GO:0005634, GO:0043234, GO:0003682, GO:0042393, GO:0051082, GO:0007049, GO:0031497, GO:0006281, GO:0006260, GO:0006335, GO:0098779, GO:0002230, GO:0006461, GO:0006355, GO:0006351, GO:0098792
4708925	GO:0005634, GO:0042754, GO:0045892, GO:0048511, GO:0006351
4708927	GO:0005634, GO:0003677, GO:0046872, GO:0003700, GO:0006355, GO:0006351
4708935	GO:0005737, GO:0005634, GO:0006355, GO:0006351
4708937	GO:0002080, GO:0001669, GO:0005794, GO:0016021, GO:0016020, GO:0005886, GO:0005524, GO:0000287, GO:0005548, GO:0004012, GO:0007030, GO:0045332, GO:0015914
4708941	GO:0005829, GO:0012505, GO:0016020, GO:0032420, GO:0032421, GO:0005096, GO:0005085, GO:0030165, GO:0048365, GO:0030971, GO:0060326, GO:1904694, GO:0043547, GO:0014911, GO:0007264
4708953	GO:0005737, GO:0031011, GO:0031965, GO:0005730, GO:0005654, GO:0005634, GO:0003677, GO:0019901, GO:0006915, GO:0097190, GO:0006310, GO:0006281, GO:0006355, GO:0006351
4708957	GO:0005911, GO:0034451, GO:0005814, GO:0005813, GO:0005829, GO:0030010, GO:0000086, GO:0031023, GO:0000278, GO:0001764, GO:0006996, GO:0035148
4708967	GO:0016740
4708983	GO:0005737, GO:0005856, GO:0030175, GO:0030027, GO:0005886, GO:0048675, GO:0007160, GO:0007165
4708985	GO:0016021, GO:0005654, GO:0005634
4708989	GO:0005829, GO:0005096, GO:0090630, GO:0051056, GO:0007264
4709011	GO:0000166, GO:0044822
4709013	GO:0005581, GO:0005578, GO:0005178, GO:0007155, GO:0033627, GO:0071230, GO:0033622, GO:0051894
4709017	GO:0005911, GO:0070062, GO:0030175, GO:0005925, GO:0005887, GO:0030027, GO:0005634, GO:0048471, GO:0005886, GO:0005509, GO:0007015, GO:0009653, GO:0007155, GO:0016477, GO:0007267, GO:0007163, GO:0007156, GO:0016337
4709019	GO:0034399, GO:0005654, GO:0046872, GO:0043565, GO:0003700, GO:0006351
4709035	GO:0016021
4709041	GO:0005882, GO:0005198
4709057	No_GOcodes
4709063	GO:0005858, GO:0030286, GO:0005874, GO:0005524, GO:0016887, GO:0003777, GO:0001539, GO:0007018
4709091	GO:0005814, GO:0005813, GO:0036064, GO:0000922, GO:0030030
4709095	No_GOcodes
4709101	GO:0005634, GO:0003677, GO:0006355, GO:0006351
4709115	GO:0005741, GO:0005524, GO:0045087, GO:0043124, GO:0050728, GO:0045824, GO:0032688, GO:0032715, GO:0039536, GO:0032480, GO:0016032
4709123	GO:0005737, GO:0051536, GO:0046872, GO:0019901, GO:0019887, GO:0016740, GO:0007420, GO:0045736, GO:0045664, GO:0006400
4709131	GO:0005929, GO:0070062
4709135	GO:0005737, GO:0005681, GO:0008023, GO:0005524, GO:0008026, GO:0003677, GO:0008094, GO:0008270, GO:0006353, GO:0006397, GO:0006355, GO:0008380, GO:0006369
4709137	GO:0005634, GO:0003677, GO:0046872, GO:0006355, GO:0006351
4709141	GO:0016021, GO:0005743, GO:0070469, GO:0008137
4709155	No_GOcodes
4709163	GO:0005737, GO:0005829, GO:0005615, GO:0000792, GO:0005739, GO:0005654, GO:0005634, GO:0003682, GO:0003677, GO:0010385, GO:0008327, GO:0003729, GO:0044822, GO:0019904, GO:0047485, GO:0035197, GO:0003700, GO:0008134, GO:0008344, GO:0001662, GO:0007420, GO:0032048, GO:0050432, GO:0006576, GO:0021549, GO:0006342, GO:0016358, GO:0060079, GO:0008211, GO:0006541, GO:0016573, GO:0016571, GO:0006020, GO:0007612, GO:0007616, GO:0060291, GO:0007613, GO:0006122, GO:0033555, GO:0035067, GO:0031061, GO:0043524, GO:0000122, GO:0045892, GO:0001976, GO:0050905, GO:0050884, GO:0030182, GO:0042551, GO:0031175, GO:0009405, GO:0046470, GO:0008284, GO:0051965, GO:0045893, GO:0009791, GO:0019230, GO:0008104, GO:0010468, GO:0006349, GO:0040029, GO:0002087, GO:0048167, GO:0006355, GO:0007585, GO:0001666, GO:0019233, GO:0035176, GO:0001964, GO:0007416, GO:0007268, GO:0006351, GO:0021591, GO:0008542
4709169	GO:0005634, GO:0051539, GO:0005524, GO:0004003, GO:0003677, GO:0046872, GO:0032508, GO:0006310, GO:0006281, GO:0006260, GO:0010569, GO:0000723
4709173	No_GOcodes
4709175	GO:0005930, GO:0005856, GO:0005634, GO:0008233, GO:0035082, GO:0060294
4709185	GO:0005737, GO:0016020, GO:0005815, GO:0071339, GO:0005730, GO:0005654, GO:0044822, GO:0006364
4709187	No_GOcodes
4709191	GO:0005634, GO:0003677, GO:0046872, GO:0003700, GO:0006351
4709235	GO:0005737, GO:0036449, GO:0005915, GO:0051011, GO:0090136, GO:0034453, GO:0000226, GO:0010923, GO:0070507, GO:0033043, GO:0045218
4709247	GO:0033588, GO:0006325, GO:0030335, GO:0006355, GO:0006351
4709253	GO:0009986, GO:0005769, GO:0005615, GO:0005794, GO:0008201, GO:0004465, GO:0008970, GO:0004620, GO:0008283, GO:0042632, GO:0034375, GO:0006629, GO:0009395, GO:0055091, GO:0032376, GO:0010983, GO:0050746, GO:0007584, GO:0043691
4709255	GO:0005829, GO:0033018, GO:0033017, GO:0030018, GO:0051117, GO:0005509, GO:0044325, GO:0051480, GO:0006936, GO:0051481, GO:0045823, GO:0010460, GO:1901899, GO:1903169, GO:0010881, GO:1901844, GO:0002027, GO:0033135, GO:0010880, GO:0060314
4709257	GO:0005737, GO:0005769, GO:0031982, GO:0046872, GO:0045600, GO:0001934
4709261	GO:0005737, GO:0043231, GO:0005654, GO:0003677, GO:0046872, GO:1902870, GO:0060226, GO:0006355, GO:0060040, GO:0060223, GO:0006351
4709263	GO:0005737, GO:0005829, GO:0045111, GO:0005654, GO:0030586, GO:0050444, GO:0071949, GO:0050660, GO:0010181, GO:0005506, GO:0050661, GO:0070402, GO:0003958, GO:0016709, GO:0016723, GO:0034641, GO:0009235, GO:0006306, GO:0046655, GO:0043418, GO:0009086, GO:0006555, GO:0032259, GO:1904042, GO:0055114, GO:0033353, GO:0044281, GO:0000096, GO:0006766, GO:0006767, GO:0006805
4709271	GO:0005829, GO:0005759, GO:0005739, GO:0005524, GO:0004485, GO:0006768, GO:0009083, GO:0034641, GO:0015936, GO:0006552, GO:0044281, GO:0006766, GO:0006767
4709289	No_GOcodes
4709299	GO:0005776, GO:0030424, GO:0005814, GO:0030136, GO:0005737, GO:0030659, GO:0005829, GO:0030425, GO:0005783, GO:0005794, GO:0016234, GO:0005770, GO:0005739, GO:0043025, GO:0071598, GO:0005654, GO:0005634, GO:0014069, GO:0043234, GO:0048487, GO:0050809, GO:0034452, GO:0045505, GO:0042802, GO:0044325, GO:0002039, GO:0005522, GO:0008134, GO:0009952, GO:0008088, GO:0007569, GO:0000052, GO:0008340, GO:0007212, GO:0007029, GO:0016197, GO:0006888, GO:0000132, GO:0007030, GO:0007625, GO:0042445, GO:0030073, GO:0055072, GO:0051938, GO:0019244, GO:0007626, GO:0051028, GO:2000117, GO:2001237, GO:0043524, GO:0021990, GO:0051402, GO:0048666, GO:0021988, GO:0048513, GO:0048341, GO:0045724, GO:0031587, GO:1902857, GO:0006606, GO:0071539, GO:0019805, GO:0046902, GO:0051881, GO:0034047, GO:0048167, GO:0051592, GO:0006890, GO:0035176, GO:0007283, GO:0021756, GO:0000050, GO:0047496, GO:0008542
