"Contig_Name","SNP_Position","goTerm","CC","BP","MF","keywords","ID"
"4709421",180,"GO:0015629 // GO:0005911 // GO:0005829 // GO:0070062 // GO:0012506 // GO:0030695 // GO:0042802 // GO:0043274 // GO:0019901 // GO:0017124 // GO:0030041 // GO:0030048 // GO:0008154 // GO:0007596 // GO:0006952 // GO:0016197 // GO:0008544 // GO:0038096 // GO:0006955 // GO:0045087 // GO:2000146 // GO:0006461 // GO:0050790 // GO:0002625 // GO:0007264 // GO:0042110 // GO:0050852","actin filament polymerization (GO:0030041);actin filament-based movement (GO:0030048);actin polymerization or depolymerization (GO:0008154);blood coagulation (GO:0007596);defense response (GO:0006952);endosomal transport (GO:0016197);epidermis development (GO:0008544);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);immune response (GO:0006955);innate immune response (GO:0045087);negative regulation of cell motility (GO:2000146);protein complex assembly (GO:0006461);regulation of catalytic activity (GO:0050790);regulation of T cell antigen processing and presentation (GO:0002625);small GTPase mediated signal transduction (GO:0007264);T cell activation (GO:0042110);T cell receptor signaling pathway (GO:0050852);","GTPase regulator activity (GO:0030695);identical protein binding (GO:0042802);phospholipase binding (GO:0043274);protein kinase binding (GO:0019901);SH3 domain binding (GO:0017124);","actin cytoskeleton (GO:0015629);cell-cell junction (GO:0005911);cytosol (GO:0005829);extracellular exosome (GO:0070062);vesicle membrane (GO:0012506);","3D-structure;Complete proteome;Cytoplasm;Cytoskeleton;Direct protein sequencing;Disease mutation;Phosphoprotein;Reference proteome;Repeat.;","4709421_180"
"4709593",203,"GO:0030054 // GO:0005615 // GO:0016021 // GO:0016020 // GO:0014069 // GO:0045211 // GO:0030672 // GO:0045499 // GO:0030215 // GO:0021535 // GO:0021549 // GO:0042692 // GO:0050919 // GO:0048843 // GO:0001755 // GO:0001843 // GO:0030335 // GO:0032874 // GO:0071526","cell migration in hindbrain (GO:0021535);cerebellum development (GO:0021549);muscle cell differentiation (GO:0042692);negative chemotaxis (GO:0050919);negative regulation of axon extension involved in axon guidance (GO:0048843);neural crest cell migration (GO:0001755);neural tube closure (GO:0001843);positive regulation of cell migration (GO:0030335);positive regulation of stress-activated MAPK cascade (GO:0032874);semaphorin-plexin signaling pathway (GO:0071526);","chemorepellent activity (GO:0045499);semaphorin receptor binding (GO:0030215);","cell junction (GO:0030054);extracellular space (GO:0005615);integral component of membrane (GO:0016021);membrane (GO:0016020);postsynaptic density (GO:0014069);postsynaptic membrane (GO:0045211);synaptic vesicle membrane (GO:0030672);","Cell junction;Cell membrane;Complete proteome;Cytoplasmic vesicle;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Postsynaptic cell membrane;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix.;","4709593_203"
"4709821",204,"GO:0005829 // GO:0005666 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0046872 // GO:0032549 // GO:0051607 // GO:0010467 // GO:0045087 // GO:0045089 // GO:0032728 // GO:0032481 // GO:0006386 // GO:0006385 // GO:0006383","defense response to virus (GO:0051607);gene expression (GO:0010467);innate immune response (GO:0045087);positive regulation of innate immune response (GO:0045089);positive regulation of interferon-beta production (GO:0032728);positive regulation of type I interferon production (GO:0032481);termination of RNA polymerase III transcription (GO:0006386);transcription elongation from RNA polymerase III promoter (GO:0006385);transcription from RNA polymerase III promoter (GO:0006383);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);metal ion binding (GO:0046872);ribonucleoside binding (GO:0032549);","cytosol (GO:0005829);DNA-directed RNA polymerase III complex (GO:0005666);nucleoplasm (GO:0005654);","Alternative splicing;Antiviral defense;Complete proteome;Disease mutation;DNA-directed RNA polymerase;Immunity;Innate immunity;Leukodystrophy;Metal-binding;Nucleotidyltransferase;Nucleus;Polymorphism;Reference proteome;Transcription;Transferase;Zinc;Zinc-finger.;","4709821_204"
"4714739",150,"GO:0030479 // GO:0005884 // GO:0005829 // GO:0051015 // GO:0000147 // GO:0051666 // GO:0030048 // GO:0030154 // GO:0006897 // GO:0038096 // GO:0045087 // GO:0007275 // GO:0051127 // GO:0008360 // GO:0007264 // GO:0007283","actin cortical patch assembly (GO:0000147);actin cortical patch localization (GO:0051666);actin filament-based movement (GO:0030048);cell differentiation (GO:0030154);endocytosis (GO:0006897);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);innate immune response (GO:0045087);multicellular organismal development (GO:0007275);positive regulation of actin nucleation (GO:0051127);regulation of cell shape (GO:0008360);small GTPase mediated signal transduction (GO:0007264);spermatogenesis (GO:0007283);","actin filament binding (GO:0051015);","actin cortical patch (GO:0030479);actin filament (GO:0005884);cytosol (GO:0005829);","Actin-binding;Complete proteome;Cytoplasm;Developmental protein;Differentiation;Phosphoprotein;Polymorphism;Reference proteome;Spermatogenesis.;","4714739_150"
"4714739",324,"GO:0030479 // GO:0005884 // GO:0005829 // GO:0051015 // GO:0000147 // GO:0051666 // GO:0030048 // GO:0030154 // GO:0006897 // GO:0038096 // GO:0045087 // GO:0007275 // GO:0051127 // GO:0008360 // GO:0007264 // GO:0007283","actin cortical patch assembly (GO:0000147);actin cortical patch localization (GO:0051666);actin filament-based movement (GO:0030048);cell differentiation (GO:0030154);endocytosis (GO:0006897);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);innate immune response (GO:0045087);multicellular organismal development (GO:0007275);positive regulation of actin nucleation (GO:0051127);regulation of cell shape (GO:0008360);small GTPase mediated signal transduction (GO:0007264);spermatogenesis (GO:0007283);","actin filament binding (GO:0051015);","actin cortical patch (GO:0030479);actin filament (GO:0005884);cytosol (GO:0005829);","Actin-binding;Complete proteome;Cytoplasm;Developmental protein;Differentiation;Phosphoprotein;Polymorphism;Reference proteome;Spermatogenesis.;","4714739_324"
"4714739",464,"GO:0030479 // GO:0005884 // GO:0005829 // GO:0051015 // GO:0000147 // GO:0051666 // GO:0030048 // GO:0030154 // GO:0006897 // GO:0038096 // GO:0045087 // GO:0007275 // GO:0051127 // GO:0008360 // GO:0007264 // GO:0007283","actin cortical patch assembly (GO:0000147);actin cortical patch localization (GO:0051666);actin filament-based movement (GO:0030048);cell differentiation (GO:0030154);endocytosis (GO:0006897);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);innate immune response (GO:0045087);multicellular organismal development (GO:0007275);positive regulation of actin nucleation (GO:0051127);regulation of cell shape (GO:0008360);small GTPase mediated signal transduction (GO:0007264);spermatogenesis (GO:0007283);","actin filament binding (GO:0051015);","actin cortical patch (GO:0030479);actin filament (GO:0005884);cytosol (GO:0005829);","Actin-binding;Complete proteome;Cytoplasm;Developmental protein;Differentiation;Phosphoprotein;Polymorphism;Reference proteome;Spermatogenesis.;","4714739_464"
"4716425",475,"GO:0030479 // GO:0005884 // GO:0005829 // GO:0051015 // GO:0000147 // GO:0051666 // GO:0030048 // GO:0030154 // GO:0006897 // GO:0038096 // GO:0045087 // GO:0007275 // GO:0051127 // GO:0008360 // GO:0007264 // GO:0007283","actin cortical patch assembly (GO:0000147);actin cortical patch localization (GO:0051666);actin filament-based movement (GO:0030048);cell differentiation (GO:0030154);endocytosis (GO:0006897);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);innate immune response (GO:0045087);multicellular organismal development (GO:0007275);positive regulation of actin nucleation (GO:0051127);regulation of cell shape (GO:0008360);small GTPase mediated signal transduction (GO:0007264);spermatogenesis (GO:0007283);","actin filament binding (GO:0051015);","actin cortical patch (GO:0030479);actin filament (GO:0005884);cytosol (GO:0005829);","Actin-binding;Complete proteome;Cytoplasm;Developmental protein;Differentiation;Phosphoprotein;Polymorphism;Reference proteome;Spermatogenesis.;","4716425_475"
"4719050",485,"GO:0005737 // GO:0016021 // GO:0005634 // GO:0005886","No_GOBP","No_GOMF","cytoplasm (GO:0005737);integral component of membrane (GO:0016021);nucleus (GO:0005634);plasma membrane (GO:0005886);","Alternative splicing;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix.;","4719050_485"
"4719478",176,"GO:0044298 // GO:0005887 // GO:0030027 // GO:0032589 // GO:0005641 // GO:0005634 // GO:0005166 // GO:0005031 // GO:0007420 // GO:0008625 // GO:0006955 // GO:0001701 // GO:0006954 // GO:0010942 // GO:0043410 // GO:0042127 // GO:0043281 // GO:0032496 // GO:0033209","brain development (GO:0007420);extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625);immune response (GO:0006955);in utero embryonic development (GO:0001701);inflammatory response (GO:0006954);positive regulation of cell death (GO:0010942);positive regulation of MAPK cascade (GO:0043410);regulation of cell proliferation (GO:0042127);regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281);response to lipopolysaccharide (GO:0032496);tumor necrosis factor-mediated signaling pathway (GO:0033209);","neurotrophin p75 receptor binding (GO:0005166);tumor necrosis factor-activated receptor activity (GO:0005031);","cell body membrane (GO:0044298);integral component of plasma membrane (GO:0005887);lamellipodium (GO:0030027);neuron projection membrane (GO:0032589);nuclear envelope lumen (GO:0005641);nucleus (GO:0005634);","Alternative splicing;Apoptosis;Cell membrane;Complete proteome;Glycoprotein;Membrane;Nucleus;Reference proteome;Transmembrane;Transmembrane helix.;","4719478_176"
"4720778",158,"GO:0005829 // GO:0005634 // GO:0005886 // GO:0046872 // GO:0004721 // GO:0006915 // GO:0009649 // GO:0007173 // GO:0038095 // GO:0008543 // GO:0045087 // GO:0051898 // GO:0048011 // GO:0048015 // GO:0042981 // GO:0046328 // GO:0043408 // GO:1900744 // GO:0002667","apoptotic process (GO:0006915);entrainment of circadian clock (GO:0009649);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);fibroblast growth factor receptor signaling pathway (GO:0008543);innate immune response (GO:0045087);negative regulation of protein kinase B signaling (GO:0051898);neurotrophin TRK receptor signaling pathway (GO:0048011);phosphatidylinositol-mediated signaling (GO:0048015);regulation of apoptotic process (GO:0042981);regulation of JNK cascade (GO:0046328);regulation of MAPK cascade (GO:0043408);regulation of p38MAPK cascade (GO:1900744);regulation of T cell anergy (GO:0002667);","metal ion binding (GO:0046872);phosphoprotein phosphatase activity (GO:0004721);","cytosol (GO:0005829);nucleus (GO:0005634);plasma membrane (GO:0005886);","Acetylation;Alternative splicing;Apoptosis;Cell membrane;Complete proteome;Cytoplasm;Hydrolase;Leucine-rich repeat;Manganese;Membrane;Metal-binding;Nucleus;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Tumor suppressor.;","4720778_158"
